"abundance.hct_ctr"	"abundance.hct_ki"	"counts.hct_ctr"	"counts.hct_ki"	"length.hct_ctr"	"length.hct_ki"	"countsFromAbundance"
0	0	0	0	2223.57142857143	2223.57142857143	"no"
336.864095103914	2.90519750539225e-05	2.06228199022616	1.84944873193271e-07	896.802757187245	1024.7607702501	"no"
0	0	0	0	2214.33333333333	2214.33333333333	"no"
0	0	0	0	1565.66666666667	1565.66666666667	"no"
0	78.5422557335852	0	0.500000000000004	7633.5	7633.5	"no"
163.345311989548	0	1.00000000000001	0	4250	4250	"no"
0	0	0	0	2199.61764705882	2199.61764705882	"no"
0	0	0	0	1766.75	1766.75	"no"
0	0	0	0	2588.66666666667	2588.66666666667	"no"
0	0	0	0	2260.8717948718	2260.8717948718	"no"
0	0	0	0	2622.14285714286	2622.14285714286	"no"
0	0	0	0	805.285714285714	805.285714285714	"no"
0	0	0	0	2021.44444444444	2021.44444444444	"no"
0	0	0	0	1629.4	1629.4	"no"
0	157.08451146717	0	1.00000000000001	3087.6	3087.6	"no"
0	0	0	0	1483.47058823529	1483.47058823529	"no"
0	0	0	0	2441.5	2441.5	"no"
0	0	0	0	3041.41666666667	3041.41666666667	"no"
0	0	0	0	2546.2	2546.2	"no"
0	0	0	0	853.875	853.875	"no"
0	0	0	0	1373.15384615385	1373.15384615385	"no"
0	0	0	0	4409.25	4409.25	"no"
0	0	0	0	1431.18181818182	1431.18181818182	"no"
0	0	0	0	1287.75	1287.75	"no"
0	0	0	0	1684	1684	"no"
0	0	0	0	1481.2	1481.2	"no"
0	0	0	0	3563.8	3563.8	"no"
0	0	0	0	1349.07692307692	1349.07692307692	"no"
0	0	0	0	1207.5	1207.5	"no"
0	0	0	0	534.111111111111	534.111111111111	"no"
0	0	0	0	1764.5	1764.5	"no"
0	0	0	0	1522	1522	"no"
0	0	0	0	6008.66666666667	6008.66666666667	"no"
0	157.08451146717	0	1.00000000000001	3249	3249	"no"
0	0	0	0	1083.14705882353	1083.14705882353	"no"
0	0	0	0	2069.73333333333	2069.73333333333	"no"
0	0	0	0	3588.33333333333	3588.33333333333	"no"
0	0	0	0	1309.625	1309.625	"no"
0	0	0	0	1392.88888888889	1392.88888888889	"no"
0	0	0	0	1746.46153846154	1746.46153846154	"no"
0	0	0	0	1528.81818181818	1528.81818181818	"no"
163.345311989548	0	1.00000000000001	0	580	580	"no"
0	0	0	0	1067.42857142857	1067.42857142857	"no"
0	0	0	0	3683.9	3683.9	"no"
0	0	0	0	1457.27272727273	1457.27272727273	"no"
0	0	0	0	1062.71428571429	1062.71428571429	"no"
0	0	0	0	2051.8	2051.8	"no"
0	0	0	0	4825	4825	"no"
81.6726559947742	0	0.500000000000008	0	1577.5	1577.5	"no"
0	0	0	0	3335.8	3335.8	"no"
0	0	0	0	5306.5	5306.5	"no"
0	0	0	0	1334.85714285714	1334.85714285714	"no"
0	471.253534401512	0	3.00000000000001	1582.85326493565	1595.29938251531	"no"
0	0	0	0	870.947368421053	870.947368421053	"no"
0	0	0	0	1514.25	1514.25	"no"
163.345311989548	0	1.00000000000001	0	1910	1910	"no"
0	0	0	0	3769	3769	"no"
163.345311989548	0	1.00000000000002	0	1450	1450	"no"
0	0	0	0	2365.75	2365.75	"no"
0	0	0	0	1544.16666666667	1544.16666666667	"no"
0	0	0	0	1671.375	1671.375	"no"
0	0	0	0	1664.16666666667	1664.16666666667	"no"
0	0	0	0	1544.83333333333	1544.83333333333	"no"
163.345311989548	0	1.00000000000001	0	1159	1159	"no"
0	0	0	0	2115	2115	"no"
0	0	0	0	3778.81818181818	3778.81818181818	"no"
0	0	0	0	1336.92857142857	1336.92857142857	"no"
0	0	0	0	1721.58823529412	1721.58823529412	"no"
0	0	0	0	4226	4226	"no"
0	0	0	0	1669.33333333333	1669.33333333333	"no"
0	0	0	0	1908	1908	"no"
0	0	0	0	1130.75	1130.75	"no"
0	0	0	0	1059.88888888889	1059.88888888889	"no"
326.690623979097	0	2.00000000000003	0	1413.00091552734	1409.29559953377	"no"
0	0	0	0	2217.4	2217.4	"no"
0	0	0	0	1916.8	1916.8	"no"
0	0	0	0	2728	2728	"no"
0	0	0	0	1592.38461538462	1592.38461538462	"no"
0	0	0	0	1506.84210526316	1506.84210526316	"no"
0	0	0	0	2591.07142857143	2591.07142857143	"no"
